PUBCHEM.COMPOUND:33741	treats	DOID:1540	0.8
PUBCHEM.COMPOUND:4595	treats	DOID:0060058	0.6
PUBCHEM.COMPOUND:31401	treats	DOID:13580	1.0
PUBCHEM.COMPOUND:30751	treats	DOID:1793	0.7
PUBCHEM.COMPOUND:5284616	treats	DOID:3721	0.9
PUBCHEM.COMPOUND:126941	treats	DOID:2752	0.7
PUBCHEM.COMPOUND:5073	treats	DOID:12700	0.8
PUBCHEM.COMPOUND:5362129	treats	DOID:1612	0.6
PUBCHEM.COMPOUND:54454	treats	DOID:14330	0.9
PUBCHEM.COMPOUND:5755	treats	DOID:8552	0.7
PUBCHEM.COMPOUND:936	treats	DOID:162	0.7
PUBCHEM.COMPOUND:2083	treats	DOID:11589	1.0
PUBCHEM.COMPOUND:5702160	treats	DOID:305	0.7
PUBCHEM.COMPOUND:6018	treats	DOID:3312	0.6
PUBCHEM.COMPOUND:5311068	treats	DOID:9955	0.6
PUBCHEM.COMPOUND:10133	treats	DOID:10582	0.5
PUBCHEM.COMPOUND:36462	treats	DOID:305	1.0
PUBCHEM.COMPOUND:4058	treats	DOID:10923	1.0
PUBCHEM.COMPOUND:750	treats	DOID:1793	0.6
PUBCHEM.COMPOUND:1983	treats	DOID:2752	0.5
PUBCHEM.COMPOUND:3121	treats	DOID:2746	0.6
PUBCHEM.COMPOUND:445643	treats	DOID:0050908	0.9
PUBCHEM.COMPOUND:55891	treats	DOID:9352	0.9
PUBCHEM.COMPOUND:23725625	treats	DOID:3070	0.8
PUBCHEM.COMPOUND:11243969	treats	DOID:9744	0.6
PUBCHEM.COMPOUND:31703	treats	DOID:9253	0.7
PUBCHEM.COMPOUND:35370	treats	DOID:0060058	0.6
PUBCHEM.COMPOUND:9865528	treats	DOID:8432	0.7
PUBCHEM.COMPOUND:2907	treats	DOID:4450	0.9
PUBCHEM.COMPOUND:4054	treats	DOID:3683	0.5
PUBCHEM.COMPOUND:3759	treats	DOID:10652	0.8
PUBCHEM.COMPOUND:3478	treats	DOID:9744	0.5
PUBCHEM.COMPOUND:3059	treats	DOID:9351	0.9
PUBCHEM.COMPOUND:6741	treats	DOID:1612	1.0
PUBCHEM.COMPOUND:10607	treats	DOID:305	0.6
PUBCHEM.COMPOUND:702	treats	DOID:9352	0.7
PUBCHEM.COMPOUND:3690	treats	DOID:2154	0.7
PUBCHEM.COMPOUND:4091	treats	DOID:14261	0.9
PUBCHEM.COMPOUND:6883	treats	DOID:11723	0.6
PUBCHEM.COMPOUND:4946	treats	DOID:4964	0.8
PUBCHEM.COMPOUND:6167	treats	DOID:162	0.8
PUBCHEM.COMPOUND:6049	treats	DOID:9256	1.0
PUBCHEM.COMPOUND:5360373	treats	DOID:3571	1.0
PUBCHEM.COMPOUND:2375	treats	DOID:10283	0.5
PUBCHEM.COMPOUND:10607	treats	DOID:1909	0.9
PUBCHEM.COMPOUND:4943	treats	DOID:10652	1.0
PUBCHEM.COMPOUND:4091	treats	DOID:1062	0.7
PUBCHEM.COMPOUND:36462	treats	DOID:3948	0.7
PUBCHEM.COMPOUND:4943	treats	DOID:305	0.8
PUBCHEM.COMPOUND:3672	treats	DOID:9884	0.8
PUBCHEM.COMPOUND:5865	treats	DOID:769	0.6
PUBCHEM.COMPOUND:31703	treats	DOID:3683	0.6
PUBCHEM.COMPOUND:12560	treats	DOID:2730	0.6
PUBCHEM.COMPOUND:5991	treats	DOID:1485	0.6
PUBCHEM.COMPOUND:6167	treats	DOID:9352	0.6
PUBCHEM.COMPOUND:11707110	treats	DOID:2394	0.9
PUBCHEM.COMPOUND:137	treats	DOID:8577	0.8
PUBCHEM.COMPOUND:3672	treats	DOID:3265	0.8
PUBCHEM.COMPOUND:1054	treats	DOID:0060058	0.8
PUBCHEM.COMPOUND:6010	treats	DOID:1612	0.8
PUBCHEM.COMPOUND:5426	treats	DOID:769	0.8
PUBCHEM.COMPOUND:36462	treats	DOID:1588	1.0
PUBCHEM.COMPOUND:2771	treats	DOID:12858	0.6
PUBCHEM.COMPOUND:8982	treats	DOID:12134	1.0
